	30	FF	FF	1148524	636853011206641212	Initial
0	0	14	B0	1	80	1150010	636853011219721224	RecordStandby
0	0	14	E0	0	0	1150026	636853011219881205	RecordStandby
0	0	14	40	FF	FF	1150044	636853011220051220	RecordStandby
0	0	14	30	FF	FF	1150060	636853011220221178	RecordStandby
49	51	14	B0	1	80	1150077	636853011220391181	RecordStandby
49	51	14	E0	0	0	1150094	636853011220551220	RecordStandby
99	42	14	40	FF	FF	1150110	636853011220731192	RecordStandby
99	42	14	30	FF	FF	1150127	636853011220891176	RecordStandby
0	0	14	B0	1	80	1150144	636853011221051580	RecordStandby
0	0	14	E0	0	0	1150160	636853011221224664	RecordStandby
0	0	14	40	FF	FF	1150177	636853011221394745	RecordStandby
0	0	14	30	FF	FF	1150193	636853011221561623	RecordStandby
0	0	14	B0	1	80	1150211	636853011221725181	RecordStandby
0	0	14	E0	0	0	1150227	636853011221893054	RecordStandby
0	0	14	40	FF	FF	1150243	636853011222063733	RecordStandby
0	0	14	30	FF	FF	1150261	636853011222225162	RecordStandby
0	0	14	B0	1	80	1150277	636853011222391219	RecordStandby
0	0	14	E0	0	0	1150294	636853011222551216	RecordStandby
0	0	14	40	FF	FF	1150311	636853011222725342	RecordStandby
0	0	14	30	FF	FF	1150327	636853011222895447	RecordStandby
0	0	14	B0	1	80	1150344	636853011223061209	RecordStandby
0	0	14	E0	0	0	1150361	636853011223225420	RecordStandby
0	0	14	40	FF	FF	1150377	636853011223401224	RecordStandby
0	0	14	30	FF	FF	1150394	636853011223561150	RecordStandby
0	0	14	B0	1	80	1150410	636853011223721171	RecordStandby
0	0	14	E0	0	0	1150428	636853011223891175	RecordStandby
0	0	14	40	FF	FF	1150444	636853011224061185	RecordStandby
0	0	14	30	FF	FF	1150460	636853011224231174	RecordStandby
0	0	14	B0	1	80	1150478	636853011224391179	RecordStandby
49	51	14	E0	0	0	1150494	636853011224561174	RecordStandby
49	51	14	40	FF	FF	1150511	636853011224731173	RecordStandby
99	42	14	30	FF	FF	1150528	636853011224901156	RecordStandby
99	42	14	B0	1	80	1150545	636853011225071168	RecordStandby
0	0	14	E0	0	0	1150561	636853011225221916	RecordStandby
0	0	14	40	FF	FF	1150577	636853011225395786	RecordStandby
0	0	14	30	FF	FF	1150595	636853011225566117	RecordStandby
0	0	14	B0	1	80	1150611	636853011225731187	RecordStandby
0	0	14	E0	0	0	1150627	636853011225896417	RecordStandby
0	0	14	40	FF	FF	1150645	636853011226071222	RecordStandby
0	0	14	30	FF	FF	1150661	636853011226236867	RecordStandby
0	0	14	B0	1	80	1150678	636853011226396418	RecordStandby
0	0	14	E0	0	0	1150695	636853011226566271	RecordStandby
0	0	14	40	FF	FF	1150711	636853011226735336	RecordStandby
0	0	14	30	FF	FF	1150728	636853011226905151	RecordStandby
0	0	14	B0	1	80	1150745	636853011227066365	RecordStandby
0	0	14	E0	0	0	1150761	636853011227236528	RecordStandby
0	0	14	40	FF	FF	1150778	636853011227403158	RecordStandby
0	0	14	30	FF	FF	1150794	636853011227571173	RecordStandby
0	0	14	B0	1	80	1150812	636853011227741203	RecordStandby
0	0	14	E0	0	0	1150828	636853011227901178	RecordStandby
0	0	14	40	FF	FF	1150844	636853011228071212	RecordStandby
0	0	14	30	FF	FF	1150862	636853011228231173	RecordStandby
0	0	14	B0	1	80	1150878	636853011228401181	RecordStandby
0	0	14	E0	0	FF	1150903	636853011228641208	RecordStandby
0	0	0	FF	FF	FF	1161897	636853011338511156	Initial
0	0	14	B0	1	80	1162031	636853011339851212	RecordStandby
0	0	14	E0	0	0	1162047	636853011340011227	RecordStandby
0	0	14	40	FF	FF	1162064	636853011340191176	RecordStandby
0	0	14	30	FF	FF	1162081	636853011340351207	RecordStandby
0	0	14	B0	1	80	1162097	636853011340521179	RecordStandby
0	0	14	E0	0	0	1162115	636853011340681209	RecordStandby
0	0	14	40	FF	FF	1162131	636853011340851168	RecordStandby
0	0	14	30	FF	FF	1162147	636853011341021246	RecordStandby
0	0	14	B0	1	80	1162164	636853011341181165	RecordStandby
49	51	14	E0	0	0	1162181	636853011341356148	RecordStandby
49	51	14	40	FF	FF	1162198	636853011341521232	RecordStandby
99	42	14	30	FF	FF	1162215	636853011341691468	RecordStandby
99	42	14	B0	1	80	1162231	636853011341852905	RecordStandby
0	0	14	E0	0	0	1162248	636853011342011162	RecordStandby
0	0	14	40	FF	FF	1162264	636853011342185866	RecordStandby
0	0	14	30	FF	FF	1162281	636853011342351303	RecordStandby
0	0	14	B0	1	80	1162298	636853011342521282	RecordStandby
0	0	14	E0	0	0	1162314	636853011342681336	RecordStandby
0	0	14	40	FF	FF	1162331	636853011342851316	RecordStandby
0	0	14	30	FF	FF	1162348	636853011343021181	RecordStandby
0	0	14	B0	1	80	1162364	636853011343191220	RecordStandby
0	0	14	E0	0	0	1162381	636853011343351208	RecordStandby
0	0	14	40	FF	FF	1162398	636853011343521220	RecordStandby
0	0	14	30	FF	FF	1162415	636853011343691216	RecordStandby
0	0	14	B0	1	80	1162431	636853011343851213	RecordStandby
0	0	14	E0	0	0	1162448	636853011344016791	RecordStandby
0	0	14	40	FF	FF	1162465	636853011344191226	RecordStandby
0	0	14	30	FF	FF	1162481	636853011344361494	RecordStandby
0	0	14	B0	1	80	1162499	636853011344521175	RecordStandby
0	0	14	E0	0	0	1162515	636853011344691217	RecordStandby
0	0	14	40	FF	FF	1162531	636853011344861340	RecordStandby
0	0	14	30	FF	FF	1162548	636853011345021203	RecordStandby
0	0	14	B0	1	80	1162565	636853011345181185	RecordStandby
0	0	14	E0	0	0	1162582	636853011345351228	RecordStandby
49	51	14	40	FF	FF	1162599	636853011345531167	RecordStandby
49	51	14	30	FF	FF	1162615	636853011345691272	RecordStandby
99	42	14	B0	1	80	1162632	636853011345861372	RecordStandby
99	42	14	E0	0	0	1162648	636853011346025437	RecordStandby
0	0	14	40	FF	FF	1162665	636853011346191186	RecordStandby
0	0	14	30	FF	FF	1162682	636853011346356857	RecordStandby
0	0	14	B0	1	80	1162698	636853011346521217	RecordStandby
0	0	14	E0	0	0	1162715	636853011346691213	RecordStandby
0	0	14	40	FF	FF	1162732	636853011346861239	RecordStandby
0	0	14	30	FF	FF	1162748	636853011347021347	RecordStandby
0	0	14	B0	1	80	1162765	636853011347181767	RecordStandby
0	0	14	E0	0	0	1162782	636853011347361205	RecordStandby
0	0	14	40	FF	FF	1162799	636853011347531196	RecordStandby
0	0	14	30	FF	FF	1162815	636853011347696130	RecordStandby
0	0	14	B0	1	80	1162832	636853011347861214	RecordStandby
0	0	14	E0	0	0	1162849	636853011348021204	RecordStandby
0	0	14	40	FF	FF	1162865	636853011348191235	RecordStandby
0	0	14	30	FF	FF	1162883	636853011348361242	RecordStandby
0	0	14	B0	1	80	1162899	636853011348521260	RecordStandby
0	0	14	E0	0	0	1162915	636853011348691218	RecordStandby
0	0	14	40	FF	FF	1162932	636853011348851156	RecordStandby
0	0	14	30	FF	FF	1162949	636853011349021157	RecordStandby
0	0	14	B0	1	80	1162966	636853011349181455	RecordStandby
0	0	14	E0	0	0	1162982	636853011349351609	RecordStandby
0	0	14	40	FF	FF	1162999	636853011349521192	RecordStandby
49	51	14	30	FF	FF	1163016	636853011349701208	RecordStandby
49	51	14	B0	1	80	1163032	636853011349863989	RecordStandby
99	42	14	E0	0	0	1163049	636853011350031203	RecordStandby
99	42	14	40	FF	FF	1163066	636853011350201189	RecordStandby
0	0	14	30	FF	FF	1163082	636853011350364309	RecordStandby
0	0	14	B0	1	80	1163099	636853011350531208	RecordStandby
0	0	14	E0	0	0	1163116	636853011350691206	RecordStandby
0	0	14	40	FF	FF	1163132	636853011350861278	RecordStandby
0	0	14	30	FF	FF	1163150	636853011351031203	RecordStandby
0	0	14	B0	1	80	1163166	636853011351194509	RecordStandby
0	0	14	E0	0	0	1163183	636853011351361202	RecordStandby
0	0	14	40	FF	FF	1163199	636853011351521201	RecordStandby
0	0	14	30	FF	FF	1163216	636853011351695546	RecordStandby
0	0	14	B0	1	80	1163233	636853011351861175	RecordStandby
0	0	14	E0	0	0	1163249	636853011352031213	RecordStandby
0	0	14	40	FF	FF	1163267	636853011352191169	RecordStandby
0	0	14	30	FF	FF	1163283	636853011352361224	RecordStandby
0	0	14	B0	1	80	1163299	636853011352525875	RecordStandby
0	0	14	E0	0	0	1163316	636853011352694248	RecordStandby
0	0	14	40	FF	FF	1163333	636853011352865571	RecordStandby
0	0	14	30	FF	FF	1163350	636853011353031220	RecordStandby
0	0	14	B0	1	80	1163366	636853011353195725	RecordStandby
0	0	14	E0	0	0	1163383	636853011353361539	RecordStandby
0	0	14	40	FF	FF	1163400	636853011353531158	RecordStandby
0	0	14	30	FF	FF	1163416	636853011353696659	RecordStandby
49	51	14	B0	1	80	1163433	636853011353871188	RecordStandby
49	51	14	E0	0	0	1163450	636853011354035610	RecordStandby
99	42	14	40	FF	FF	1163466	636853011354205483	RecordStandby
99	42	14	30	FF	FF	1163484	636853011354366540	RecordStandby
0	0	14	B0	1	80	1163500	636853011354531206	RecordStandby
0	0	14	E0	0	0	1163516	636853011354691171	RecordStandby
0	0	14	40	FF	FF	1163533	636853011354871182	RecordStandby
0	0	14	30	FF	FF	1163550	636853011355034676	RecordStandby
0	0	14	B0	1	80	1163567	636853011355201181	RecordStandby
0	0	14	E0	0	0	1163583	636853011355361233	RecordStandby
0	0	14	40	FF	FF	1163600	636853011355531610	RecordStandby
0	0	14	30	FF	FF	1163617	636853011355691937	RecordStandby
0	0	14	B0	1	80	1163633	636853011355871185	RecordStandby
0	0	14	E0	0	0	1163651	636853011356031207	RecordStandby
0	0	14	40	FF	FF	1163667	636853011356201171	RecordStandby
0	0	14	30	FF	FF	1163683	636853011356371194	RecordStandby
0	0	14	B0	1	80	1163700	636853011356531186	RecordStandby
0	0	14	E0	0	0	1163717	636853011356691491	RecordStandby
0	0	14	40	FF	FF	1163734	636853011356871203	RecordStandby
0	0	14	30	FF	FF	1163750	636853011357035455	RecordStandby
0	0	14	B0	1	80	1163767	636853011357201186	RecordStandby
0	0	14	E0	0	0	1163784	636853011357361206	RecordStandby
0	0	14	40	FF	FF	1163800	636853011357532012	RecordStandby
0	0	14	30	FF	FF	1163817	636853011357711175	RecordStandby
0	0	14	B0	1	80	1163834	636853011357871209	RecordStandby
49	51	14	E0	0	0	1163850	636853011358041175	RecordStandby
49	51	14	40	FF	FF	1163867	636853011358211233	RecordStandby
99	42	14	30	FF	FF	1163884	636853011358371388	RecordStandby
99	42	14	B0	1	80	1163900	636853011358541174	RecordStandby
0	0	14	E0	0	0	1163917	636853011358701303	RecordStandby
0	0	14	40	FF	FF	1163934	636853011358871207	RecordStandby
0	0	14	30	FF	FF	1163952	636853011359045309	RecordStandby
0	0	14	B0	1	80	1163967	636853011359191169	RecordStandby
0	0	14	E0	0	0	1163984	636853011359361152	RecordStandby
0	0	14	40	FF	FF	1164001	636853011359531569	RecordStandby
0	0	14	30	FF	FF	1164017	636853011359701210	RecordStandby
0	0	14	B0	1	80	1164035	636853011359871200	RecordStandby
0	0	14	E0	0	0	1164051	636853011360035832	RecordStandby
0	0	14	40	FF	FF	1164067	636853011360206034	RecordStandby
0	0	14	30	FF	FF	1164084	636853011360366229	RecordStandby
0	0	14	B0	1	80	1164101	636853011360541206	RecordStandby
0	0	14	E0	0	0	1164118	636853011360701176	RecordStandby
0	0	14	40	FF	FF	1164134	636853011360871214	RecordStandby
0	0	14	30	FF	FF	1164151	636853011361041177	RecordStandby
0	0	14	B0	1	80	1164168	636853011361201206	RecordStandby
0	0	14	E0	0	0	1164184	636853011361361210	RecordStandby
0	0	14	40	FF	FF	1164201	636853011361531335	RecordStandby
0	0	14	30	FF	FF	1164218	636853011361705727	RecordStandby
0	0	14	B0	1	80	1164234	636853011361871173	RecordStandby
0	0	14	E0	0	0	1164251	636853011362031175	RecordStandby
49	51	14	40	FF	FF	1164268	636853011362211213	RecordStandby
49	51	14	30	FF	FF	1164284	636853011362381177	RecordStandby
99	42	14	B0	1	80	1164302	636853011362543691	RecordStandby
99	42	14	E0	0	0	1164318	636853011362706395	RecordStandby
0	0	14	40	FF	FF	1164335	636853011362875267	RecordStandby
0	0	14	30	FF	FF	1164351	636853011363042525	RecordStandby
0	0	14	B0	1	80	1164368	636853011363211378	RecordStandby
0	0	14	E0	0	0	1164385	636853011363361168	RecordStandby
0	0	14	40	FF	FF	1164401	636853011363541443	RecordStandby
0	0	14	30	FF	FF	1164419	636853011363701426	RecordStandby
0	0	14	B0	1	80	1164435	636853011363861210	RecordStandby
0	0	14	E0	0	0	1164451	636853011364034553	RecordStandby
0	0	14	40	FF	FF	1164468	636853011364204659	RecordStandby
0	0	14	30	FF	FF	1164485	636853011364374995	RecordStandby
0	0	14	B0	1	80	1164502	636853011364541220	RecordStandby
0	0	14	E0	0	0	1164518	636853011364711180	RecordStandby
0	0	14	40	FF	FF	1164535	636853011364873828	RecordStandby
0	0	14	30	FF	FF	1164552	636853011365041234	RecordStandby
0	0	14	B0	1	80	1164568	636853011365211177	RecordStandby
0	0	14	E0	0	0	1164585	636853011365371195	RecordStandby
0	0	14	40	FF	FF	1164602	636853011365551289	RecordStandby
0	0	14	30	FF	FF	1164618	636853011365711162	RecordStandby
0	0	14	B0	1	80	1164635	636853011365881172	RecordStandby
0	0	14	E0	0	0	1164652	636853011366041219	RecordStandby
0	0	14	40	FF	FF	1164668	636853011366211246	RecordStandby
49	51	14	30	FF	FF	1164686	636853011366381216	RecordStandby
49	51	14	B0	1	80	1164702	636853011366551268	RecordStandby
